#Time	'HT Avg'	'MT Avg'	'LIT Avg'	'LT Avg'	'Total Avg'	'count'
2.42	-1.486301	1.226510	0.185259	1.976378	0.601000	7952.000000
2.43	-1.554795	1.169463	0.281873	1.893701	0.617000	7986.000000
2.44	-2.116438	1.367450	0.249004	1.893701	0.618500	8017.000000
2.45	-2.109589	1.461409	0.202191	1.933071	0.628500	8047.000000
2.46	-2.041096	1.365772	0.242032	2.228346	0.662500	8077.000000
2.47	-1.767123	1.333893	0.408367	2.244094	0.758500	8104.000000
2.48	-1.760274	1.348993	0.439243	2.137795	0.765500	8128.000000
2.49	-1.760274	1.268456	0.414343	2.106299	0.725000	8153.000000
2.5	-1.575342	1.223154	0.385458	2.161417	0.717500	8179.000000
2.51	-2.027397	1.208054	0.419323	2.429134	0.731000	8223.000000
2.52	-1.773973	1.105705	0.457171	2.165354	0.704500	8246.000000
2.53	-1.835616	1.132550	0.451195	2.173228	0.706000	8275.000000
2.54	-1.828767	1.139262	0.462151	2.267717	0.726000	8309.000000
2.55	-1.753425	1.093960	0.448207	2.267717	0.711000	8340.000000
2.56	-1.616438	1.028523	0.380478	2.263780	0.667000	8370.000000
2.57	-1.609589	1.052013	0.343625	2.251969	0.654500	8390.000000
2.58	-1.527397	0.956376	0.352590	2.224409	0.633000	8415.000000
2.59	-1.630137	0.894295	0.276892	2.295276	0.578000	8448.000000
2.6	-1.773973	0.907718	0.327689	2.212598	0.586500	8480.000000
2.61	-1.369863	0.823826	0.362550	2.145669	0.600000	8515.000000
2.62	-1.424658	0.699664	0.396414	2.228346	0.586500	8549.000000
2.63	-1.554795	0.587248	0.473108	2.354331	0.598000	8583.000000
2.64	-1.500000	0.634228	0.356574	2.248031	0.544000	8617.000000
2.65	-1.417808	0.642617	0.324701	2.259843	0.538000	8642.000000
2.66	-1.424658	0.593960	0.375498	2.118110	0.530500	8675.000000
2.67	-1.869863	0.602349	0.412351	2.118110	0.519000	8708.000000
2.68	-1.849315	0.555369	0.339641	2.125984	0.471000	8739.000000
2.69	-2.301370	0.597315	0.287849	1.783465	0.381000	8769.000000
2.7	-2.417808	0.790268	0.301793	1.751969	0.433000	8797.000000
2.71	-2.410959	0.832215	0.277888	1.618110	0.417000	8826.000000
2.72	-2.486301	0.808725	0.303785	1.480315	0.400000	8863.000000
2.73	-2.219178	0.894295	0.297809	1.397638	0.431500	8892.000000
2.74	-2.287671	0.684564	0.298805	1.496063	0.377000	8923.000000
2.75	-2.061644	0.791946	0.265936	1.366142	0.392500	8953.000000
2.76	-2.198630	0.795302	0.313745	1.334646	0.403500	8977.000000
2.77	-1.938356	0.793624	0.442231	1.807087	0.546500	9005.000000
2.78	-2.068493	0.867450	0.345618	1.811024	0.511000	9037.000000
2.79	-1.520548	0.800336	0.323705	1.901575	0.531500	9066.000000
2.8	-1.301370	0.718121	0.363546	1.901575	0.543000	9095.000000
2.81	-1.232877	0.649329	0.376494	1.826772	0.524500	9125.000000
2.82	-1.232877	0.607383	0.374502	2.015748	0.535000	9161.000000
2.83	-1.390411	0.617450	0.358566	2.098425	0.529000	9185.000000
2.84	-1.267123	0.580537	0.487052	2.102362	0.592000	9220.000000
2.85	-1.191781	0.609060	0.515936	2.011811	0.609000	9249.000000
2.86	-1.027397	0.572148	0.608566	2.248031	0.686500	9278.000000
2.87	-1.020548	0.598993	0.591633	2.259843	0.688000	9314.000000
2.88	-1.006849	0.520134	0.631474	2.133858	0.669500	9343.000000
2.89	-1.226027	0.585570	0.642430	2.082677	0.672000	9381.000000
2.9	-1.212329	0.546980	0.753984	2.066929	0.715500	9430.000000
2.91	-1.205479	0.352349	0.757968	2.031496	0.655500	9458.000000
2.92	-1.273973	0.355705	0.926295	2.110236	0.746000	9487.000000
2.93	-1.226027	0.434564	0.908367	2.279528	0.785500	9506.000000
2.94	-1.198630	0.530201	0.955179	2.244094	0.835000	9536.000000
2.95	-1.178082	0.501678	1.103586	2.133858	0.888500	9560.000000
2.96	-1.246575	0.510067	1.197211	1.799213	0.890500	9603.000000
2.97	-1.150685	0.496644	1.225100	2.232283	0.962500	9626.000000
2.98	-1.356164	0.649329	1.250000	2.224409	1.004500	9662.000000
2.99	-1.821918	0.563758	1.317729	2.232283	0.980000	9696.000000
3	-1.746575	0.550336	1.291833	2.275591	0.974000	9734.000000
3.01	-1.883562	0.656040	1.238048	2.078740	0.943500	9772.000000
3.02	-1.952055	0.679530	1.220120	2.000000	0.926500	9804.000000
3.03	-1.938356	0.766779	1.243028	1.870079	0.948500	9837.000000
3.04	-1.931507	0.751678	1.231076	1.992126	0.954000	9868.000000
3.05	-1.972603	0.897651	1.260956	1.795276	0.984500	9899.000000
3.06	-1.972603	0.904362	1.263944	1.846457	0.994500	9930.000000
3.07	-2.178082	1.025168	1.294821	2.003937	1.051000	9957.000000
3.08	-2.212329	1.030201	1.242032	2.051181	1.029500	9989.000000
3.09	-2.205479	0.981544	1.193227	2.086614	0.995500	10019.000000
3.1	-2.006849	1.036913	1.262948	1.877953	1.035000	10047.000000
3.11	-2.150685	0.872483	1.297809	2.051181	1.015000	10078.000000
3.12	-2.212329	0.927852	1.225100	1.972441	0.980500	10108.000000
3.13	-2.342466	1.053691	1.217131	2.078740	1.018000	10136.000000
3.14	-2.568493	1.075503	1.195219	1.830709	0.965500	10168.000000
3.15	-2.554795	1.065436	1.090637	1.799213	0.907000	10196.000000
3.16	-2.452055	0.855705	1.166335	2.102362	0.928500	10224.000000
3.17	-2.410959	0.796980	1.207171	2.114173	0.936000	10255.000000
3.18	-2.410959	0.733221	1.211155	2.322835	0.945500	10283.000000
3.19	-2.397260	0.835570	1.185259	2.409449	0.975000	10317.000000
3.2	-2.541096	0.813758	1.156375	2.448819	0.948500	10345.000000
3.21	-2.890411	0.855705	1.024900	2.472441	0.872500	10385.000000
3.22	-2.808219	0.847315	1.091633	2.393701	0.899500	10415.000000
3.23	-2.828767	0.813758	1.063745	2.425197	0.878000	10444.000000
3.24	-2.678082	0.812081	1.145418	2.476378	0.936000	10471.000000
3.25	-2.678082	0.855705	1.092629	2.645669	0.944000	10510.000000
